Masses,Likelihood
'sparc',-11.538441366757375
'sparc',-11.629826788142857
'sparc',-11.52301775502549
'sparc',-11.693038450838355
'sparc',-11.480508242506533
'sparc',-11.936964588260569
'sparc',-11.512375197946477
'sparc',-11.484574925217823
'sparc',-11.348490013618601
'sparc',-11.516871059884464
'sparc',-11.668797778986843
'sparc',-11.331864978293154
'sparc',-11.386783563283778
'sparc',-11.348539297071676
'sparc',-11.549945390296466
