1,100,0.06384993456896705,0.06581386368167197
1,10,0.05471698663697284,0.06265286687619866
1,2,0.03406481186799251,0.03633819721938431
2,100,0.0652248028861249,0.06592087763773496
2,10,0.061906558257894796,0.06295369195103336
2,2,0.05235642454937541,0.05408882092209942
3,100,0.06656948715907457,0.06593135469676589
3,10,0.0622949390683339,0.06482342911752428
3,2,0.055393532495252494,0.058274974520272096
4,100,0.06599798502727708,0.0659177345925999
4,10,0.06432475744183994,0.06441269674488892
4,2,0.054959966685596565,0.06065128077553865
5,100,0.06503923847519431,0.06574660574243
5,10,0.06345210531854448,0.06575872540033585
5,2,0.05633123325814331,0.06105019736090111
6,100,0.06620763071025844,0.06598952313554866
6,10,0.06445518696400171,0.06586137367943284
6,2,0.06068458600162886,0.06447439350483151
7,100,0.06559087134088787,0.06573185163480992
7,10,0.06449576110506955,0.06507019312581988
7,2,0.059759461016109655,0.06400494308603782
8,100,0.06580826413163633,0.06584781837029786
8,10,0.06436533024019844,0.06526219314412902
8,2,0.0602364884337716,0.06253932693813616
9,100,0.06592874787012039,0.06603196698409214
9,10,0.06430809133666962,0.06586202040208411
9,2,0.06112245434190108,0.062128229008391975
10,100,0.06591812453649003,0.06586539140190532
10,10,0.06599249494544301,0.06573311004443998
10,2,0.061426429723975086,0.06293216998306923
20,100,0.06615581716381123,0.06582447025595752
20,1000,0.06579121208796279,0.06595909584712495
30,100,0.06587066503879654,0.0659642405728272
30,1000,0.06644701844506841,0.06596696860792783
50,100,0.06611928849200707,0.06610482133601697
50,1000,0.06620070398659961,0.06599802248045186
