2,1000,-193.025194365471
3,1000,-180.81738418747128
4,1000,-176.9326045284365
5,1000,-192.48374312678703
6,1000,-182.60777103193345
7,1000,-190.14852723170537
8,1000,-189.00491658425125
9,1000,-189.6421648907316
10,1000,-187.4626709857347
10,100,-184.2160839313895
10,10000,-183.07704913978097
11,1000,-184.0238663907849
12,1000,-187.58551894616798
13,1000,-183.55219279099944
14,1000,-188.55763535278373
15,1000,-187.96949001792734
16,1000,-185.42335692126963
18,1000,-186.8179994301009
20,1000,-189.71191803931666
20,100,-186.66230248658906
22,1000,-187.10481485249744
24,1000,-184.4604469634246
26,1000,-180.85842446759347
28,1000,-183.76004591755918
30,1000,-183.32233666772612
30,100,-180.35701399620658
35,1000,-183.95948246956064
40,1000,-183.47741696283168
40,100,-187.48887190183075
45,1000,-186.22922510622325
50,1000,-183.33913529040873
50,100,-183.11824857410045
55,1000,-183.56816513083055
60,1000,-184.2547104009269
60,100,-188.05853846647057
65,1000,-186.40223476374615
70,1000,-184.5250828467532
70,100,-180.8155850193333
75,1000,-186.87159770624714
80,1000,-184.42581443847035
80,100,-180.8108848470464
85,1000,-183.26065707327194
90,1000,-184.0996569847726
90,100,-183.67849889133126
95,1000,-183.04882421609625
100,1000,-184.30634639086836
100,100,-184.75453426834926
110,1000,-184.58764102435384
110,100,-184.35272335411844
120,1000,-184.6958813447307
120,100,-184.44148862615435
130,1000,-184.27093122943202
130,100,-185.70697582572052
140,1000,-183.64814779734832
140,100,-182.98835343306692
150,100,-186.55720000624302
